WKT,City,Company
POINT (69.207486 34.5553494),Kabul,The Associated Press
POINT (19.8186982 41.3275459),Tirana,The Associated Press
POINT (-58.3815591 -34.6036844),Buenos Aires,The Associated Press
POINT (149.1300092 -35.2809368),Canberra,The Associated Press
POINT (151.2092955 -33.8688197),Sydney,The Associated Press
POINT (16.3738189 48.2081743),Vienna,The Associated Press
POINT (90.41281409999999 23.7465586),Malibagh,The Associated Press
POINT (4.3571696 50.8476424),Brussels,The Associated Press
POINT (-68.11929359999999 -16.489689),La Paz,The Associated Press
POINT (18.4130763 43.8562586),Sarajevo,The Associated Press
POINT (-47.89188739999999 -15.7975154),Brasília,The Associated Press
POINT (-43.1728965 -22.9068467),Rio de Janeiro,The Associated Press
POINT (-46.6395571 -23.5557714),São Paulo,The Associated Press
POINT (23.3218675 42.6977082),Sofia,The Associated Press
POINT (104.9282099 11.5563738),Phnom Penh,The Associated Press
POINT (-79.3831843 43.653226),Toronto,The Associated Press
POINT (-70.6692655 -33.4488897),Santiago,The Associated Press
POINT (116.407395 39.904211),Beijing,The Associated Press
POINT (114.1693611 22.3193039),Hong Kong,The Associated Press
POINT (121.473701 31.230416),Shanghai,The Associated Press
POINT (-74.072092 4.710988599999999),Bogotá,The Associated Press
POINT (-83.6961197 9.366023499999999),San Isidro de El General,The Associated Press
POINT (15.981919 45.8150108),Zagreb,The Associated Press
POINT (-82.3665956 23.1135925),Havana,The Associated Press
POINT (33.38227639999999 35.1855659),Nicosia,The Associated Press
POINT (14.4378005 50.0755381),Prague,The Associated Press
POINT (12.5683371 55.6760968),Copenhagen,The Associated Press
POINT (-78.4678382 -0.1806532),Quito,The Associated Press
POINT (31.2357116 30.0444196),Cairo,The Associated Press
POINT (-89.2181911 13.6929403),San Salvador,The Associated Press
POINT (-0.1275862 51.5072178),London,The Associated Press
POINT (24.938379 60.16985569999999),Helsinki,The Associated Press
POINT (2.3522219 48.856614),Paris,The Associated Press
POINT (44.80151679999999 41.6938026),Tbilisi,The Associated Press
POINT (13.404954 52.52000659999999),Berlin,The Associated Press
POINT (8.6821267 50.1109221),Frankfurt,The Associated Press
POINT (23.7275388 37.9838096),Athens,The Associated Press
POINT (-90.23075899999999 15.783471),Guatemala,The Associated Press
POINT (-72.2881907 18.5138139),Petion-Ville,The Associated Press
POINT (19.040235 47.497912),Budapest,The Associated Press
POINT (77.2090212 28.6139391),New Delhi,The Associated Press
POINT (106.8229198 -6.1944491),Jakarta,The Associated Press
POINT (44.3660671 33.315241),Baghdad,The Associated Press
POINT (-6.2603097 53.3498053),Dublin,The Associated Press
POINT (35.21371 31.768319),Jerusalem,The Associated Press
POINT (9.189982 45.4642035),Milan,The Associated Press
POINT (12.4963655 41.9027835),Rome,The Associated Press
POINT (139.650027 35.6764225),Tokyo,The Associated Press
POINT (35.910635 31.9539494),Amman,The Associated Press
POINT (36.8219462 -1.2920659),Nairobi,The Associated Press
POINT (126.9917937 37.5518911),Seoul,The Associated Press
POINT (35.5017767 33.8937913),Beirut,The Associated Press
POINT (101.6840589 3.1319197),Federal Territory of Kuala Lumpur,The Associated Press
POINT (-99.133208 19.4326077),Mexico City,The Associated Press
POINT (-6.8498129 33.9715904),Rabat,The Associated Press
POINT (96.173526 16.840939),Yangon,The Associated Press
POINT (85.3239605 27.7172453),Kathmandu,The Associated Press
POINT (4.9041389 52.3675734),Amsterdam,The Associated Press
POINT (174.7787463 -41.2923814),Wellington,The Associated Press
POINT (-86.2361744 12.1149926),Managua,The Associated Press
POINT (3.3792057 6.5243793),Lagos,The Associated Press
POINT (73.04788479999999 33.6844202),Islamabad,The Associated Press
POINT (67.0011364 24.8607343),Karachi,The Associated Press
POINT (-57.57592599999999 -25.2637399),Asunción,The Associated Press
POINT (120.9842195 14.5995124),Manila,The Associated Press
POINT (21.0122287 52.2296756),Warsaw,The Associated Press
POINT (-9.1393366 38.7222524),Lisbon,The Associated Press
POINT (26.1025384 44.4267674),Bucharest,The Associated Press
POINT (37.6173 55.755826),Moscow,The Associated Press
POINT (46.6752957 24.7135517),Riyadh,The Associated Press
POINT (-17.4676861 14.716677),Dakar,The Associated Press
POINT (20.46123 44.8125449),Belgrade,The Associated Press
POINT (103.819836 1.352083),Singapore,The Associated Press
POINT (28.0473051 -26.2041028),Johannesburg,The Associated Press
POINT (-3.7037902 40.4167754),Madrid,The Associated Press
POINT (79.861243 6.9270786),Colombo,The Associated Press
POINT (18.0685808 59.32932349999999),Stockholm,The Associated Press
POINT (6.1431577 46.2043907),Geneva,The Associated Press
POINT (121.5654268 25.0329636),Taipei City,The Associated Press
POINT (100.5017651 13.7563309),Bangkok,The Associated Press
POINT (32.8597419 39.9333635),Ankara,The Associated Press
POINT (28.9783589 41.0082376),İstanbul,The Associated Press
POINT (30.5234 50.4501),Kyiv,The Associated Press
POINT (55.2707828 25.2048493),Dubai,The Associated Press
POINT (-56.1851147 -34.9055016),Montevideo,The Associated Press
POINT (-66.90360629999999 10.4805937),Caracas,The Associated Press
POINT (105.8341598 21.0277644),Hanoi,The Associated Press
POINT (31.0492259 -17.8216288),Harare,The Associated Press
POINT (-79.51986959999999 8.9823792),Panama City,The Associated Press
POINT (4.9041389 52.3675734),Amsterdam,The New York Times
POINT (100.5017651 13.7563309),Bangkok,The New York Times
POINT (44.3660671 33.315241),Baghdad,The New York Times
POINT (116.407395 39.904211),Beijing,The New York Times
POINT (35.5017767 33.8937913),Beirut,The New York Times
POINT (13.404954 52.52000659999999),Berlin,The New York Times
POINT (31.2357116 30.0444196),Cairo,The New York Times
POINT (-3.7037902 40.4167754),Madrid,The New York Times
POINT (-17.4676861 14.716677),Dakar,The New York Times
POINT (28.9783589 41.0082376),İstanbul,The New York Times
POINT (35.21371 31.768319),Jerusalem,The New York Times
POINT (28.0473051 -26.2041028),Johannesburg,The New York Times
POINT (69.207486 34.5553494),Kabul,The New York Times
POINT (-0.1275862 51.5072178),London,The New York Times
POINT (-99.1013498 19.2464696),Mexico City,The New York Times
POINT (37.6173 55.755826),Moscow,The New York Times
POINT (77.2090212 28.6139391),New Delhi,The New York Times
POINT (-75.69719309999999 45.4215296),Ottawa,The New York Times
POINT (2.3522219 48.856614),Paris,The New York Times
POINT (-43.1728965 -22.9068467),Rio de Janeiro,The New York Times
POINT (12.4963655 41.9027835),Rome,The New York Times
POINT (121.473701 31.230416),Shanghai,The New York Times
POINT (151.2092955 -33.8688197),Sydney,The New York Times
POINT (139.650027 35.6764225),Tokyo,The New York Times
POINT (-79.3831843 43.653226),Toronto,The New York Times
POINT (21.0122287 52.2296756),Warsaw,The New York Times
POINT (44.3660671 33.315241),Baghdad,The Washington Post
POINT (116.407395 39.904211),Beijing,The Washington Post
POINT (35.5017767 33.8937913),Beirut,The Washington Post
POINT (13.404954 52.52000659999999),Berlin,The Washington Post
POINT (4.3571696 50.8476424),Brussels,The Washington Post
POINT (31.2357116 30.0444196),Cairo,The Washington Post
POINT (-17.4676861 14.716677),Dakar,The Washington Post
POINT (114.1693611 22.3193039),Hong Kong,The Washington Post
POINT (73.04788479999999 33.6844202),Islamabad,The Washington Post
POINT (28.9783589 41.0082376),İstanbul,The Washington Post
POINT (35.21371 31.768319),Jerusalem,The Washington Post
POINT (-0.1275862 51.5072178),London,The Washington Post
POINT (-99.133208 19.4326077),Mexico City,The Washington Post
POINT (37.6173 55.755826),Moscow,The Washington Post
POINT (36.8219462 -1.2920659),Nairobi,The Washington Post
POINT (77.2090212 28.6139391),New Delhi,The Washington Post
POINT (-43.1728965 -22.9068467),Rio de Janeiro,The Washington Post
POINT (12.4963655 41.9027835),Rome,The Washington Post
POINT (139.650027 35.6764225),Tokyo,The Washington Post
POINT (-79.3831843 43.653226),Toronto,The Washington Post