Year,City,latitude,longitude
2023,"Birmingham, AL",33.543682,-86.80249
2022,"Las Vegas, NV",36.17497,-115.13722
2019,"Miami, FL",25.77427,-80.19366
2018,"Detroit, MI",42.33143,-83.04575
2017,"New Orleans, LA",29.95465,-90.07507
2016,"Washington, DC",38.89511,-77.03637
2015,"Minneapolis, MN",44.97997,-93.26384
2014,"Boston, MA",42.35843,-71.05977
2013,"Kissimmee, FL",28.30468,-81.41667
2012,"New Orleans, LA",29.95465,-90.07507
2011,"Philadelphia, PA",39.95233,-75.16379
2010,"San Diego, CA",32.71571,-117.16472
2009,"Tampa, FL",27.94752,-82.45843
2008,"Chicago, IL",41.85003,-87.65005
2007,"Las Vegas, NV",36.17497,-115.13722
2006,"Indianapolis, IN",39.76838,-86.15804
2005,"Atlanta, GA",33.749,-84.38798
2004,"Washington, DC",38.89511,-77.03637
2003,"Dallas, TX",32.78306,-96.80667
2002,"Milwaukee, WI",43.0389,-87.90647
2001,"Orlando, FL",28.53834,-81.37924
2000,"Phoenix, AZ",33.44838,-112.07404
1999,"Seattle, WA",47.60621,-122.33207
1998,"Washington, DC",38.89511,-77.03637
1997,"Chicago, IL",41.85003,-87.65005
1996,"Nashville, TN",36.16589,-86.78444
1995,"Philadelphia, PA",39.95233,-75.16379
1994,"Atlanta, GA",33.749,-84.38798
1993,"Houston, TX",29.76328,-95.36327
1992,"Detroit, MI",42.33143,-83.04575
1991,"Kansas City, MO",39.09973,-94.57857
1990,"Los Angeles, CA",34.05223,-118.24368
1989,"New York, NY",40.71427,-74.00597
1988,"St. Louis, MO",38.62727,-90.19789
1987,"Miami, FL",25.77427,-80.19366
1986,"Dallas, TX",32.78306,-96.80667
1985,"Baltimore, MD",39.29038,-76.61219
1984,"Atlanta, GA",33.749,-84.38798
1983,"New Orleans, LA",29.95465,-90.07507
1982,"Detroit, MI",42.33143,-83.04575
1981,"Louisville, KY",38.25424,-85.75941
1980,"Washington, DC",38.89511,-77.03637
1979,"Washington, DC",38.89511,-77.03637
1978,"Chicago, IL",41.85003,-87.65005
1977,"Baltimore, MD",39.29038,-76.61219
1976,"Houston, TX",29.76328,-95.36327
1975,"Washington, DC
",38.89511,-77.03637