"WKT","name","description","company","longitude","latitude"
"(72.4991433 22.9975757)","Ahmedabad location",NA,"Reuters","72.4991433","22.9975757"
"(4.8729232 52.34993699999999)","Amsterdam location",NA,"Reuters","4.8729232","52.34993699999999"
"(-83.726844 42.196069)","Ann Arbor","MI location","Reuters","-83.726844","42.196069"
"(23.7348157 37.9748045)","Athens location",NA,"Reuters","23.7348157","37.9748045"
"(77.7120655 12.9743998)","Bangalore location",NA,"Reuters","77.7120655","12.9743998"
"(100.54732 13.7387405)","Bangkok location",NA,"Reuters","100.54732","13.7387405"
"(116.414092 39.909369)","Beijing","Oriental Plaza location","Reuters","116.414092","39.909369"
"(20.4658553 44.8076095)","Belgrade location",NA,"Reuters","20.4658553","44.8076095"
"(13.3754362 52.5111897)","Berlin location",NA,"Reuters","13.3754362","52.5111897"
"(-74.0494623 4.677160600000001)","Bogota location",NA,"Reuters","-74.0494623","4.677160600000001"
"(19.0489757 47.4750225)","Budapest location",NA,"Reuters","19.0489757","47.4750225"
"(-58.3875561 -34.6016107)","Buenos Aires","Calle Tucuman location","Reuters","-58.3875561","-34.6016107"
"(-47.0464052 -22.8960684)","Campinas Rua Orlando Fagnani location",NA,"Reuters","-47.0464052","-22.8960684"
"(-87.6360871 41.8774486)","Chicago","IL location","Reuters","-87.6360871","41.8774486"
"(12.5672519 55.6759687)","Copenhagen location",NA,"Reuters","12.5672519","55.6759687"
"(-49.338866 -28.6927914)","Criciúma location",NA,"Reuters","-49.338866","-28.6927914"
"(-96.8449828 32.97533)","Dallas Location",NA,"Reuters","-96.8449828","32.97533"
"(55.15138520000001 25.0924892)","Dubai Thomson Reuters location",NA,"Reuters","55.15138520000001","25.0924892"
"(-6.233351 53.3455011)","Dublin",NA,"Reuters","-6.233351","53.3455011"
"(8.6528873 50.11250149999999)","Frankfurt location",NA,"Reuters","8.6528873","50.11250149999999"
"(18.5752702 54.4004235)","Gdansk location",NA,"Reuters","18.5752702","54.4004235"
"(-84.1130323 9.9639773)","Heredia location",NA,"Reuters","-84.1130323","9.9639773"
"(114.2168096 22.28780339999999)","Hong Kong","Cityplaza location","Reuters","114.2168096","22.28780339999999"
"(78.3862556 17.4369224)","Hyderabad location",NA,"Reuters","78.3862556","17.4369224"
"(28.0535995 -26.1069543)","Johannesburg location",NA,"Reuters","28.0535995","-26.1069543"
"(-43.3481827 -21.7758329)","Juiz de Fora location",NA,"Reuters","-43.3481827","-21.7758329"
"(-9.1489575 38.7255177)","Lisbon location",NA,"Reuters","-9.1489575","38.7255177"
"(-0.0174902 51.50557509999999)","London",NA,"Reuters","-0.0174902","51.50557509999999"
"(6.127443699999999 49.61390429999999)","Luxembourg location",NA,"Reuters","6.127443699999999","49.61390429999999"
"(-3.691386099999999 40.4244326)","Madrid location",NA,"Reuters","-3.691386099999999","40.4244326"
"(121.0264088 14.5510655)","Manila location",NA,"Reuters","121.0264088","14.5510655"
"(-77.23557579999999 38.9326462)","McLean location",NA,"Reuters","-77.23557579999999","38.9326462"
"(144.9633347 -37.8169726)","Melbourne location",NA,"Reuters","144.9633347","-37.8169726"
"(-99.1513664 19.434208)","Mexico City",NA,"Reuters","-99.1513664","19.434208"
"(9.1909744 45.4620425)","Milan location",NA,"Reuters","9.1909744","45.4620425"
"(-93.11336709999999 44.8250902)","Minneapolis-Saint Paul location",NA,"Reuters","-93.11336709999999","44.8250902"
"(-73.57233 45.50028760000001)","Montreal location",NA,"Reuters","-73.57233","45.50028760000001"
"(37.6175753 55.7618924)","Moscow location",NA,"Reuters","37.6175753","55.7618924"
"(11.572159 48.1416602)","Munchen location",NA,"Reuters","11.572159","48.1416602"
"(36.8079678 -1.2860273)","Nairobi location",NA,"Reuters","36.8079678","-1.2860273"
"(-73.987064 40.756571)","New York location",NA,"Reuters","-73.987064","40.756571"
"(10.7419601 59.9153142)","Oslo location",NA,"Reuters","10.7419601","59.9153142"
"(2.3351884 48.86995839999999)","Paris location",NA,"Reuters","2.3351884","48.86995839999999"
"(12.49584 41.9111508)","Rome location",NA,"Reuters","12.49584","41.9111508"
"(-122.3973037 37.7940487)","San Francisco location",NA,"Reuters","-122.3973037","37.7940487"
"(-70.64527989999999 -33.4381664)","Santiago location",NA,"Reuters","-70.64527989999999","-33.4381664"
"(-46.6910952 -23.595825)","Sao Paulo","Av. Douto Cardoso de Melo location","Reuters","-46.6910952","-23.595825"
"(126.9739214 37.5697299)","Seoul","Saemunan-ro Jongno-gu location","Reuters","126.9739214","37.5697299"
"(127.0358991 37.5018921)","Seoul","Songchon Building location","Reuters","127.0358991","37.5018921"
"(121.504096 31.241074)","Shanghai location",NA,"Reuters","121.504096","31.241074"
"(103.7934247 1.2938448)","Singapore location",NA,"Reuters","103.7934247","1.2938448"
"(18.0668295 59.33218590000001)","Stockholm location",NA,"Reuters","18.0668295","59.33218590000001"
"(151.1915144 -33.8664432)","Sydney location",NA,"Reuters","151.1915144","-33.8664432"
"(121.0520638 14.5373458)","Taguig location",NA,"Reuters","121.0520638","14.5373458"
"(121.5678553 25.0344157)","Taipei location",NA,"Reuters","121.5678553","25.0344157"
"(139.7488929 35.6621409)","Tokyo location",NA,"Reuters","139.7488929","35.6621409"
"(-79.3884094 43.6480117)","Toronto location",NA,"Reuters","-79.3884094","43.6480117"
"(20.992751 52.2326741)","Warsaw location",NA,"Reuters","20.992751","52.2326741"
"(-77.0311952 38.9004793)","Washington","DC location","Reuters","-77.0311952","38.9004793"
"(8.5140981 47.17604170000001)","Zug location",NA,"Reuters","8.5140981","47.17604170000001"
"(8.548942199999999 47.3626404)","Zürich location",NA,"Reuters","8.548942199999999","47.3626404"
"(35.910635 31.9539494)","Amman",NA,"Associated Press","35.910635","31.9539494"
"(44.3660671 33.315241)","Baghdad",NA,"Associated Press","44.3660671","33.315241"
"(100.5017651 13.7563309)","Bangkok",NA,"Associated Press","100.5017651","13.7563309"
"(116.407395 39.904211)","Beijing",NA,"Associated Press","116.407395","39.904211"
"(35.5017767 33.8937913)","Beirut",NA,"Associated Press","35.5017767","33.8937913"
"(4.3571696 50.8476424)","Brussels",NA,"Associated Press","4.3571696","50.8476424"
"(31.2357116 30.0444196)","Cairo",NA,"Associated Press","31.2357116","30.0444196"
"(43.9930303 36.190073)","Erbil",NA,"Associated Press","43.9930303","36.190073"
"(34.4668445 31.5016951)","Gaza",NA,"Associated Press","34.4668445","31.5016951"
"(-82.3665956 23.1135925)","Havana",NA,"Associated Press","-82.3665956","23.1135925"
"(114.1693611 22.3193039)","Hong Kong",NA,"Associated Press","114.1693611","22.3193039"
"(73.04788479999999 33.6844202)","Islamabad",NA,"Associated Press","73.04788479999999","33.6844202"
"(106.8229198 -6.1944491)","Jakarta",NA,"Associated Press","106.8229198","-6.1944491"
"(28.0473051 -26.2041028)","Johannesburg",NA,"Associated Press","28.0473051","-26.2041028"
"(-0.1275862 51.5072178)","London",NA,"Associated Press","-0.1275862","51.5072178"
"(-118.242643 34.0549076)","Los Angeles",NA,"Associated Press","-118.242643","34.0549076"
"(121.0222565 14.6090537)","Metro Manila",NA,"Associated Press","121.0222565","14.6090537"
"(-99.1013498 19.2464696)","Mexico City",NA,"Associated Press","-99.1013498","19.2464696"
"(37.6173 55.755826)","Moscow",NA,"Associated Press","37.6173","55.755826"
"(44.3265272 32.0106646)","Najaf",NA,"Associated Press","44.3265272","32.0106646"
"(-74.0059728 40.7127753)","New York",NA,"Associated Press","-74.0059728","40.7127753"
"(2.3522219 48.856614)","Paris",NA,"Associated Press","2.3522219","48.856614"
"(125.7625241 39.0392193)","Pyongyang",NA,"Associated Press","125.7625241","39.0392193"
"(35.2034184 31.9037641)","Ramallah",NA,"Associated Press","35.2034184","31.9037641"
"(-43.1728965 -22.9068467)","Rio de Janeiro",NA,"Associated Press","-43.1728965","-22.9068467"
"(12.4962352 41.9027008)","Metropolitan City of Rome Capital",NA,"Associated Press","12.4962352","41.9027008"
"(44.1910066 15.3694451)","Sana'a",NA,"Associated Press","44.1910066","15.3694451"
"(126.9917937 37.5518911)","Seoul",NA,"Associated Press","126.9917937","37.5518911"
"(139.650027 35.6764225)","Tokyo",NA,"Associated Press","139.650027","35.6764225"
"(-77.0368707 38.9071923)","Washington",NA,"Associated Press","-77.0368707","38.9071923"
